,Id Year Month Day Hour Temp DewTemp Pre Wind Sky pre1 pre2 pre3
0,1 2014 01 01 00    -8   -40 10122   290    60     1 -9999     0
1,2 2014 01 01 01    -4   -40 10121   360    40 -9999 -9999 -9999
2,3 2014 01 01 02    -3   -29 10118   340   100 -9999 -9999 -9999
3,4 2014 01 01 04    -3   -19 10110   350   100 -9999 -9999 -9999
4,5 2014 01 01 05    -5   -24 10107   360   110 -9999 -9999 -9999
5,6 2014 01 01 06    -3   -21 10100   360   110     2 -9999 -9999
